
Learn time
Sample, mean, median, lower, upper
5%, 5789, 5627, 5052, 6998
10%, -0.4339756666666666, -0.33286499999999997, -1.255808, -0.185029, -0.2122736666666667, -0.2080315, -0.270462, -0.185222
15%, -0.2773532083333333, -0.212056, -1.038755, -0.189167, -0.20949179166666673, -0.211147, -0.241489, -0.184616
20%, -0.22238933333333336, -0.209678, -0.321567, -0.162637, -0.19537862499999994, -0.19408550000000002, -0.216787, -0.178604
25%, -0.24476991666666661, -0.204572, -0.536426, -0.172687, -0.20332799999999998, -0.2031095, -0.221224, -0.188198
30%, -0.21635250000000003, -0.20103500000000002, -0.418472, -0.170083, -0.19764029166666672, -0.1969535, -0.215624, -0.178213
35%, -0.19859679166666663, -0.19204, -0.242803, -0.169412, -0.19387233333333334, -0.19349850000000002, -0.212317, -0.180261
40%, -0.1831815, -0.185076, -0.225989, -0.15398, -0.18779308333333336, -0.18630750000000001, -0.203957, -0.173465
45%, -0.18162508333333335, -0.1820615, -0.199904, -0.162694, -0.18565079166666668, -0.1871835, -0.199904, -0.174026
50%, -0.18415562500000002, -0.183608, -0.203595, -0.165252, -0.19031541666666665, -0.19005, -0.202334, -0.178516
55%, -0.17257929166666666, -0.17188350000000002, -0.187802, -0.158447, -0.180455625, -0.1790525, -0.190172, -0.167476
60%, -0.17942291666666665, -0.1793865, -0.197667, -0.164727, -0.18720375000000003, -0.185562, -0.201415, -0.170039
65%, -0.17984150000000002, -0.180673, -0.19488, -0.154204, -0.18469887499999996, -0.186678, -0.19831, -0.165049
70%, -0.18000687499999998, -0.179562, -0.198191, -0.166458, -0.18366441666666666, -0.1833995, -0.200807, -0.166375
75%, -0.17345683333333337, -0.171624, -0.18747, -0.159466, -0.17826083333333334, -0.17719249999999998, -0.189516, -0.166
80%, -0.17365975000000003, -0.1733545, -0.187095, -0.160191, -0.17820754166666664, -0.17652299999999999, -0.190842, -0.166166
85%, -0.17487212500000002, -0.1747255, -0.184917, -0.163368, -0.17840337500000003, -0.1788495, -0.188719, -0.167718
90%, -0.17760629166666664, -0.1791115, -0.190055, -0.163418, -0.17973849999999994, -0.18057299999999998, -0.192637, -0.165785
95%, -0.17639633333333338, -0.1758695, -0.186951, -0.16617, -0.17760529166666664, -0.1773995, -0.187385, -0.167737
100%, -0.1775335, -0.176648, -0.190597, -0.166862, -0.1775335, -0.176648, -0.190597, -0.166862
